image,ground_truth,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
"118031","118031-1",0.0749736,0.88629,0.85565,0.148311,0.145064,29.005,0.925026,835.264,321.501,0.120362,0.897811,0.763799,25.9397,0.391999,0.185576,500,308.802,254.078
"118031","118031-2",0.0403106,0.962183,0.869279,0.0580959,0.0806212,261.302,0.959689,835.264,321.501,0.120362,0.897811,0.740612,25.9397,0.391999,0.185576,500,308.802,254.078
"118031","118031-3",0.057804,0.911814,0.915552,0.104343,0.11507,17.0787,0.942196,835.264,321.501,0.120362,0.897811,0.525054,25.9397,0.391999,0.185576,500,308.802,254.078
"118031","118031-4",0.0617936,0.932261,0.867092,0.0782855,0.122564,3.68757,0.938206,835.264,321.501,0.120362,0.897811,0.703328,25.9397,0.391999,0.185576,500,308.802,254.078
"118072","118072-0",0.0408223,0.923109,0.932674,0.0797852,0.0814632,0.849358,0.959178,585.257,288.66,0.107817,0.920071,0.478977,20.3886,0.411493,0.176784,501,308.186,293.545
"118072","118072-1",0.062519,0.907779,0.905846,0.100714,0.122881,35.6555,0.937481,585.257,288.66,0.107817,0.920071,0.573127,20.3886,0.411493,0.176784,501,308.186,293.545
"118072","118072-2",0.0346306,0.950104,0.890339,0.0435915,0.0692094,62.6855,0.965369,585.257,288.66,0.107817,0.920071,0.642019,20.3886,0.411493,0.176784,501,308.186,293.545
"118072","118072-3",0.0412562,0.912896,0.940451,0.085836,0.080699,47.5622,0.958744,585.257,288.66,0.107817,0.920071,0.455471,20.3886,0.411493,0.176784,501,308.186,293.545
"118072","118072-4",0.0789049,0.85502,0.899013,0.145428,0.154507,51.3136,0.921095,585.257,288.66,0.107817,0.920071,0.576576,20.3886,0.411493,0.176784,501,308.186,293.545
"120003","120003-0",0.0469233,0.861465,0.96135,0.180019,0.0933478,17.1047,0.953077,416.228,408.144,0.131211,0.97575,0.298279,14.8341,0.403773,0.180165,500,308.802,322.135
"120003","120003-1",0.0559582,0.859146,0.952312,0.18014,0.109442,19.0979,0.944042,416.228,408.144,0.131211,0.97575,0.368617,14.8341,0.403773,0.180165,500,308.802,322.135
"120003","120003-2",0.0176359,0.926963,0.985257,0.0838618,0.0352718,1.13163,0.982364,416.228,408.144,0.131211,0.97575,0.222143,14.8341,0.403773,0.180165,500,308.802,322.135
